model,display_name,n,bias_decimal,mae_official,mae_decimal,rmse_decimal,hit_rate,within1_rate
ecmwf_ifs,ECMWF IFS,3456,-1.3244212962962953,2.21400462962963,2.244444444444444,2.693267927561168,0.13483796296296297,0.2569444444444444
gfs013,GFS 0.13°,3456,-0.6822916666666662,1.7585648148148143,1.7622685185185178,2.1820660019891776,0.13657407407407407,0.3055555555555556
gfs_seamless,GFS Seamless,3456,-1.4158564814814807,2.026736111111111,2.019328703703703,2.5650314957275033,0.12268518518518519,0.28587962962962965
nam,NAM,3456,-2.394010416666666,2.77745949074074,2.727633101851851,3.377259617374439,0.09027777777777778,0.2222222222222222
