hour,label,best_model,ecmwf_ifs_mae,ecmwf_ifs_hit,gfs013_mae,gfs013_hit,gfs_seamless_mae,gfs_seamless_hit,nam_mae,nam_hit,max_all_mae,max_all_hit
0,Prev 7am,gfs013,2.376041666666667,0.11458333333333333,2.038541666666666,0.09375,2.667708333333333,0.10416666666666667,3.584375,0.041666666666666664,1.8666666666666656,0.09375
1,Prev 8am,gfs013,2.376041666666667,0.11458333333333333,2.038541666666666,0.09375,2.667708333333333,0.10416666666666667,3.7468749999999993,0.03125,1.8604166666666657,0.08333333333333333
4,Prev 11am,gfs013,2.2427083333333333,0.11458333333333333,1.9510416666666666,0.16666666666666666,2.44375,0.11458333333333333,3.7468749999999993,0.03125,1.8104166666666668,0.17708333333333334
7,Prev 2pm,gfs013,2.2427083333333333,0.11458333333333333,1.9510416666666666,0.16666666666666666,2.44375,0.11458333333333333,3.3156249999999994,0.07291666666666667,1.8187500000000003,0.17708333333333334
10,Prev 5pm,gfs013,2.2395833333333335,0.15625,1.8354166666666665,0.125,2.271875,0.10416666666666667,3.3156249999999994,0.07291666666666667,1.66875,0.19791666666666666
13,Prev 8pm,gfs013,2.2395833333333335,0.15625,1.8354166666666665,0.125,2.271875,0.10416666666666667,2.9510416666666655,0.0625,1.6499999999999997,0.1875
16,Prev 11pm,gfs013,2.188541666666666,0.16666666666666666,1.585416666666667,0.17708333333333334,1.8968749999999996,0.09375,2.9510416666666655,0.0625,1.3812499999999999,0.15625
19,Target 2am,gfs013,2.188541666666666,0.16666666666666666,1.585416666666667,0.17708333333333334,1.8968749999999996,0.09375,2.811458333333333,0.052083333333333336,1.3822916666666665,0.17708333333333334
22,Target 5am,gfs013,2.1927083333333335,0.14583333333333334,1.5708333333333329,0.125,1.8260416666666677,0.15625,2.811458333333333,0.052083333333333336,1.3520833333333335,0.1875
25,Target 8am,gfs013,2.1927083333333335,0.14583333333333334,1.5708333333333329,0.125,1.8260416666666677,0.15625,2.193749999999999,0.125,1.3218750000000004,0.21875
28,Target 11am,gfs_seamless,2.129166666666666,0.11458333333333333,1.589583333333333,0.13541666666666666,1.5322916666666666,0.13541666666666666,2.193749999999999,0.125,1.1708333333333334,0.25
31,Target 2pm,nam,2.129166666666666,0.11458333333333333,1.589583333333333,0.13541666666666666,1.5322916666666666,0.13541666666666666,1.258333333333333,0.22916666666666666,1.1541666666666663,0.2604166666666667
34,Target 5pm,gfs_seamless,2.1218749999999997,0.10416666666666667,1.9802083333333336,0.08333333333333333,1.2333333333333336,0.1875,1.258333333333333,0.22916666666666666,1.0083333333333329,0.3020833333333333
