time,winner_bid,winner_ask,winner_trade,nbm_estimate_f,nbm_bracket,nbm_source_time,current_blend_estimate_f,current_blend_bracket,current_blend_source_time,mu,spread,hard_stop,hurdle,p_safe,roi,raw_ecmwf_ifs,raw_gfs013,raw_gfs_seamless,raw_nam,required_p_15pct_taker_100,v2_winner_economic_screen_pass,actual_official_high_f,actual_decimal_high_f
07:24,0.05,0.06,0.06,72.59002197265629,73-74,07:24:00,76.12857142857142,75-76,07:24:00,76.15,4.400000000000006,True,0.15,0.0830335230947846,0.2984537920620598,71.8,75.9,76.2,73.8,0.0735402,True,74.0,73.9
09:00,0.02,0.04,0.02,72.94998901367191,73-74,09:01:50,76.3,75-76,09:01:50,75.85000000000001,4.400000000000006,True,0.15,0.1229356243002033,1.8798637626546888,71.8,75.9,76.2,73.3,0.049091199999999995,True,74.0,73.9
12:00,0.26,0.27,,73.4,73-74,12:00:10,76.02857142857142,75-76,12:00:10,75.9,3.700000000000003,False,0.18,0.0702238257569704,-0.7525561378134004,72.6,74.6,76.3,73.3,0.32636655,False,74.0,73.9
13:53,0.61,0.62,0.61,73.4,73-74,13:53:17,73.98571428571428,73-74,13:53:17,75.9,3.700000000000003,False,0.18,0.0340093040448232,-0.9465675860107852,72.6,74.6,76.3,73.3,0.7319658,False,74.0,73.9
15:00,0.83,0.84,0.82,73.94,73-74,15:00:42,73.94,73-74,15:00:42,76.125,3.700000000000003,False,0.18,0.0130602788971285,-0.9846242572507812,72.6,74.6,76.3,75.6,0.9768191999999999,False,74.0,73.9
18:00,0.99,1.0,0.99,73.94,73-74,17:03:28,73.94,73-74,17:58:28,75.8,3.8000000000000114,False,0.18,0.0130602788971285,-0.9869397211028716,72.1,73.7,75.9,75.6,1.15,False,74.0,73.9
